date,debt,loan,job,unemployment,economics,inflation,sell,bonds,gold,stocks,dow jones,crisis,finance,risk,leverage
2020-03-26,99,84,86,77,63,100,88,74,78,76,68,79,84,76,100
2020-03-27,80,89,80,73,79,76,79,67,82,65,65,76,72,75,78
2020-03-28,67,75,65,58,47,81,86,48,81,43,9,70,30,59,54
2020-03-29,65,64,62,61,42,76,89,53,80,35,6,71,28,56,73
2020-03-30,76,95,82,100,74,83,79,81,77,52,50,72,69,75,88
2020-03-31,78,100,78,95,81,81,74,73,75,51,49,76,66,75,99
2020-04-01,71,70,100,88,99,68,76,98,83,71,97,100,98,94,71
2020-04-02,78,76,99,91,98,76,77,89,81,72,100,99,94,100,48
2020-04-03,71,100,95,83,85,78,78,94,81,67,86,96,95,86,48
2020-04-04,58,67,71,56,60,65,90,63,85,51,16,74,44,76,41
2020-04-05,63,49,72,66,68,67,89,61,84,45,9,69,34,82,41
2020-04-06,72,75,89,92,100,79,83,91,84,66,88,85,92,91,53
2020-04-07,74,77,92,84,79,81,85,85,82,74,100,88,91,89,76
2020-04-08,78,69,91,76,81,69,83,84,83,75,95,85,91,88,55
2020-04-09,78,68,95,83,86,79,83,100,85,82,94,83,90,83,54
2020-04-10,81,68,85,73,83,80,82,94,86,58,55,65,71,79,71
2020-04-11,77,49,74,49,59,69,92,66,91,43,14,53,38,58,50
2020-04-12,69,40,71,62,58,73,90,57,87,41,9,58,30,63,47
2020-04-13,86,65,92,100,85,100,86,84,91,65,79,77,87,82,58
2020-04-14,84,71,94,89,85,72,89,91,86,79,78,82,91,77,52
2020-04-15,100,71,92,85,81,80,88,91,91,79,76,90,100,73,44
2020-04-16,91,73,88,77,83,98,89,90,92,73,74,83,90,77,60
2020-04-17,82,61,86,64,84,84,92,82,87,75,73,72,92,74,49
2020-04-18,75,48,73,48,60,74,97,65,96,51,13,65,45,56,66
2020-04-19,69,40,72,73,65,59,100,69,95,47,7,57,37,66,52
2020-04-20,83,60,91,89,80,87,89,100,92,100,74,79,96,76,65
2020-04-21,84,67,96,79,86,86,91,90,92,100,76,83,93,73,65
2020-04-22,79,66,89,75,84,72,89,96,92,77,70,80,89,74,54
2020-04-23,84,63,95,73,86,79,89,99,99,73,67,81,84,81,89
2020-04-24,81,61,93,59,70,97,85,91,91,65,63,71,82,77,71
2020-04-25,67,45,73,42,62,68,92,59,100,44,11,53,38,53,55
2020-04-26,66,42,75,71,53,71,96,65,100,43,5,52,33,57,61
2020-04-27,83,66,94,89,80,91,90,88,92,64,58,78,84,74,100
2020-04-28,75,62,97,80,99,83,90,98,93,71,64,69,80,81,74
2020-04-29,73,57,92,66,91,84,89,93,92,82,68,71,93,78,61
2020-04-30,81,58,94,61,81,90,94,98,91,81,66,81,93,79,67
2020-05-01,82,100,87,75,91,58,82,84,87,91,95,73,97,94,94
2020-05-02,64,81,72,53,69,49,97,62,95,67,18,47,51,71,73
2020-05-03,66,76,72,84,68,56,100,61,90,64,10,62,42,68,77
2020-05-04,79,97,89,100,92,62,85,98,85,85,91,80,94,90,75
2020-05-05,80,99,93,86,93,66,93,95,85,96,87,80,100,100,74
2020-05-06,85,98,93,73,85,83,85,86,90,88,90,79,95,94,83
2020-05-07,87,97,92,71,98,75,86,98,83,86,92,76,90,91,79
2020-05-08,78,91,86,67,81,59,85,85,85,83,83,85,96,83,82
2020-05-09,64,72,67,47,65,60,95,65,92,60,15,60,46,59,89
2020-05-10,62,62,66,76,66,53,97,68,91,57,9,50,34,58,55
2020-05-11,75,93,94,100,84,59,89,85,88,83,87,71,89,89,72
2020-05-12,83,87,96,86,85,58,83,91,85,88,84,74,97,90,94
